| 原始标签 | 名称 | 描述 | 外部链接 |
| victorious | 胜利 | 同名的英国皇家海军的胜利号装甲航空母舰（HMS Victorious R38） | [碧蓝航线:胜利](https://zh.moegirl.org/碧蓝航线:胜利) |
| ajax | 阿贾克斯 | 英国海军的阿贾克斯号轻巡洋舰（ HMS Ajax (22)） | [碧蓝航线:阿贾克斯](https://zh.moegirl.org/碧蓝航线:阿贾克斯) [战舰少女:阿贾克斯](https://zh.moegirl.org/战舰少女:阿贾克斯) |
| cleveland | 克利夫兰 | 美国海军克利夫兰级轻巡洋舰首舰克利夫兰号（USS Cleveland CL-55) | [碧蓝航线:克利夫兰](https://zh.moegirl.org/碧蓝航线:克利夫兰) [碧蓝航线:克利夫兰%28μ兵装%29](https://zh.moegirl.org/碧蓝航线:克利夫兰%28μ兵装%29) [战舰少女:克利夫兰](https://zh.moegirl.org/战舰少女:克利夫兰) |
| honolulu | 火奴鲁鲁 | 美国海军布鲁克林级轻巡洋舰七号舰火奴鲁鲁号（USS Honolulu(CL-48)，又译“檀香山号”） | [碧蓝航线:火奴鲁鲁](https://zh.moegirl.org/碧蓝航线:火奴鲁鲁) |
| z46 | Z46 | 纳粹德国海军1936C型驱逐舰Z46 | [碧蓝航线:Z46](https://zh.moegirl.org/碧蓝航线:Z46) [战舰少女:Z46](https://zh.moegirl.org/战舰少女:Z46) |
| z23 | Z23 | 德国海军1936A级Z23驱逐舰(German destroyer Z23) | [碧蓝航线:Z23](https://zh.moegirl.org/碧蓝航线:Z23) |
| tirpitz | 提尔比茨 | 纳粹德国海军的提尔比茨号战列舰（Tirpitz (Schiff, 1941)） | [碧蓝航线:提尔比茨](https://zh.moegirl.org/碧蓝航线:提尔比茨) [战舰少女:提尔比茨](https://zh.moegirl.org/战舰少女:提尔比茨) |
| duke of york | 约克公爵 | 英国海军的约克公爵号战列舰（HMS Duke of York (17)） | [碧蓝航线:约克公爵](https://zh.moegirl.org/碧蓝航线:约克公爵) [战舰少女:约克公爵](https://zh.moegirl.org/战舰少女:约克公爵) [战舰少女:约克公爵(派趣服)](https://zh.moegirl.org/战舰少女:约克公爵%28派趣服%29) |
| bache | 贝奇 | 美国海军弗莱彻级驱逐舰13号舰贝奇号(USS Bache (DD-470)) | [碧蓝航线:贝奇](https://zh.moegirl.org/碧蓝航线:贝奇) |
| sirius | 天狼星 | 英国海军的天狼星号轻巡洋舰（HMS Sirius (82)） | [碧蓝航线:天狼星](https://zh.moegirl.org/碧蓝航线:天狼星) [战舰少女:天狼星](https://zh.moegirl.org/战舰少女:天狼星) |
| sims | 西姆斯 | 美国海军西姆斯级驱逐舰首舰西姆斯(USS Sims(DD-409)) | [碧蓝航线:西姆斯](https://zh.moegirl.org/碧蓝航线:西姆斯) |
| colorado | 科罗拉多 | 美国海军科罗拉多级战列舰首舰科罗拉多号（USS Colorado BB-45） | [碧蓝航线:科罗拉多](https://zh.moegirl.org/碧蓝航线:科罗拉多) [战舰少女:科罗拉多](https://zh.moegirl.org/战舰少女:科罗拉多) [舰队Collection:科罗拉多](https://zh.moegirl.org/舰队Collection:科罗拉多) |
| kuubo seiki | 空母栖姬 |  | [舰队Collection:空母栖姬](https://zh.moegirl.org/舰队Collection:空母栖姬) |
| kuubo suiki | 空母水鬼 |  | [舰队Collection:空母水鬼](https://zh.moegirl.org/舰队Collection:空母水鬼) |
| soukou kuuboki | 装甲空母姬 |  | [舰队Collection:装甲空母姬](https://zh.moegirl.org/舰队Collection:装甲空母姬) |
| senkan seiki | 战舰栖姬 |  | [舰队Collection:战舰栖姬](https://zh.moegirl.org/舰队Collection:战舰栖姬) |
| hoppou seiki | 北方栖姬 |  | [舰队Collection:北方栖姬](https://zh.moegirl.org/舰队Collection:北方栖姬) |
| nanpou seiki | 南方栖鬼 |  | [舰队Collection:南方栖鬼](https://zh.moegirl.org/舰队Collection:南方栖鬼) |
| shuusekichi seiki | 集积地栖姬 |  | [舰队Collection:集积地栖姬](https://zh.moegirl.org/舰队Collection:集积地栖姬) |
| ritou seiki | 离岛栖姬 |  | [舰队Collection:离岛栖姬](https://zh.moegirl.org/舰队Collection:离岛栖姬) |
| kouwan seiki | 港湾栖姬 |  | [舰队Collection:港湾栖姬](https://zh.moegirl.org/舰队Collection:港湾栖姬) |
| chuukan seiki | 中间栖姬 |  | [舰队Collection:中间栖姬](https://zh.moegirl.org/舰队Collection:中间栖姬) |
| hikoujouki | 飞行场姬 |  | [舰队Collection:飞行场姬](https://zh.moegirl.org/舰队Collection:飞行场姬) |
| lion | 狮 |  | [战舰少女:狮](https://zh.moegirl.org/战舰少女:狮) [战舰少女:狮(战列巡洋舰)](https://zh.moegirl.org/战舰少女:狮%28战列巡洋舰%29) |
| kagero | 阳炎 | 旧日本帝国海军的阳炎号驱逐舰（陽炎(陽炎型駆逐艦)） | [碧蓝航线:阳炎](https://zh.moegirl.org/碧蓝航线:阳炎) [战舰少女:阳炎](https://zh.moegirl.org/战舰少女:阳炎) [舰队Collection:阳炎](https://zh.moegirl.org/舰队Collection:阳炎) |
| el condor pasa | 神鹰 |  | [赛马娘:神鹰](https://zh.moegirl.org/神鹰) [战舰少女:神鹰](https://zh.moegirl.org/战舰少女:神鹰) [舰队Collection:神鹰](https://zh.moegirl.org/舰队Collection:神鹰) |
| perth | 珀斯 |  | [舰队Collection:珀斯](https://zh.moegirl.org/舰队Collection:珀斯) |
| renown | 声望 | 英国海军的声望号战列巡洋舰（ HMS Renown (1916)） | [碧蓝航线:声望](https://zh.moegirl.org/碧蓝航线:声望) [战舰少女:声望](https://zh.moegirl.org/战舰少女:声望) |
| chang chun | 长春 | 中国人民解放军海军103长春号驱逐舰 | [碧蓝航线:长春](https://zh.moegirl.org/碧蓝航线:长春) |
| gotland | 哥特兰 |  | [战舰少女:哥特兰](https://zh.moegirl.org/战舰少女:哥特兰) [舰队Collection:哥特兰](https://zh.moegirl.org/舰队Collection:哥特兰) |
| grecale | 东北风 |  | [舰队Collection:东北风](https://zh.moegirl.org/舰队Collection:东北风) |
| bremerton | 布莱默顿 | 美国海军巴尔的摩级重巡洋舰九号舰布雷默顿号（USS Bremerton (CA-130)） | [碧蓝航线:布莱默顿](https://zh.moegirl.org/碧蓝航线:布莱默顿) |
| roon | 罗恩 | 原型是《战舰世界》原创的军舰 | [碧蓝航线:罗恩](https://zh.moegirl.org/碧蓝航线:罗恩) |
| dido | 黛朵 | 英国海军的黛朵号轻巡洋舰（HMS Dido (37)） | [碧蓝航线:黛朵](https://zh.moegirl.org/碧蓝航线:黛朵) [战舰少女:黛朵](https://zh.moegirl.org/战舰少女:黛朵) |
| baltimore | 巴尔的摩 | 美国海军巴尔的摩级重巡洋舰首舰巴尔的摩号（USS Baltimore (CA-68)） | [碧蓝航线:巴尔的摩](https://zh.moegirl.org/碧蓝航线:巴尔的摩) [战舰少女:巴尔的摩](https://zh.moegirl.org/战舰少女:巴尔的摩) |
|  | ▲ 各种舰娘人物 |  |  |
|  | ▼ 偶像大师-THE IDOLM@STER 人物 | 还没有本子的人物也保留其中，等待添加 |  |
| producer | 制作人 |  |  |
| haruka amami | 天海春香 |  |  |
| chihaya kisaragi | 如月千早 |  |  |
| yukiho hagiwara | 萩原雪步 |  |  |
| yayoi takatsuki | 高槻弥生 | 唔唔唔~~！ε٩(๑> ₃ <)۶з<br>![高槻弥生](https://tse1-mm.cn.bing.net/th?id=OIP.M969d49ac2871c295b5acd933325b76f7o0&w=100&h=148&c=7&rs=1&qlt=90&o=4&pid=1.1) ![高槻弥生](# "https://ehgt.org/4e/3f/4e3f794c31daa6bf8250e4d0f9637ad870263eaf-531191-960-1420-jpg_l.jpg") |  |
| kasumi takatsuki | 高槻霞 |  |  |
| ritsuko akizuki | 秋月律子 |  |  |
| azusa miura | 三浦梓 |  |  |
| iori minase | 水濑伊织 |  |  |
| makoto kikuchi | 菊地真 |  |  |
| ami futami | 双海亚美 |  |  |
| mami futami | 双海真美 |  |  |
| miki hoshii | 星井美希 |  |  |
| hibiki ganaha | 我那霸响 |  |  |
| takane shijou | 四条贵音 | ![四条贵音](https://img.acg.moe/common/thumb/3/3a/21313245.jpg/250px-21313245.jpg) |  |
| kotori otonashi | 音无小鸟 |  |  |
| ai hidaka | 日高爱 |  |  |
| mai hidaka | 日高舞 |  |  |
| eri mizutani | 水谷绘理 |  |  |
| ryo akizuki | 秋月凉 |  |  |
| uzuki shimamura | 岛村卯月 | ![图](https://ehgt.org/96/01/9601e0fe69688f3922ce90bb34e8cf87415416a1-1217804-3840-2160-jpg_l.jpg)![图](# "https://ehgt.org/48/7f/487f540d2e5b849d7a0e2bf09b5cf837034bf6b8-193862-1150-1654-jpg_l.jpg")![图](# "https://ehgt.org/9f/3d/9f3d2de46edd0782329b0a259e7422d6c6b7af9a-3264173-2400-3390-jpg_l.jpg")![图](# "https://ehgt.org/82/00/820010d86437a37a6060bf6f6aa25232e4a70ce7-1214060-2126-3000-jpg_l.jpg")![图](# "https://ehgt.org/df/9b/df9b0739161fe94c6029ffb7897b087290f3f298-3490765-2122-3000-jpg_l.jpg") |  |
| yukari mizumoto | 水本紫 |  |  |
| mai fukuyama | 福山舞 |  |  |
| kanako mimura | 三村加奈子 |  |  |
| miho kohinata | 小日向美穗 |  |  |
| chieri ogata | 绪方智绘里 |  |  |
| kyoko igarashi | 五十岚响子 |  |  |
|  | 柳濑美由纪 |  |  |
| momoka sakurai | 樱井桃华 |  |  |
| yumeko sakurai | 樱井梦子 |  |  |
|  | 江上椿 |  |  |
| hasumi nagatomi | 长富莲实 |  |  |
| chika yokoyama | 横山千佳 |  |  |
|  | 关裕美 |  |  |
| miku maekawa | 前川未来 |  |  |
|  | 赤西瑛梨华 |  |  |
| saya matsubara | 松原早耶 |  |  |
| yukino aihara | 相原雪乃 |  |  |
| frederica miyamoto | 宫本芙蕾德莉卡 |  |  |
| sae kobayakawa | 小早川纱枝 |  |  |
| kotoka saionji | 西园寺琴歌 |  |  |
| anzu futaba | 双叶杏 |  |  |
|  | 杨菲菲 |  |  |
|  | 桃井小豆 |  |  |
|  | 凉宫星花 |  |  |
|  | 月宫雅 |  |  |
|  | 兵藤丽奈 |  |  |
|  | 道明寺歌铃 |  |  |
|  | 柳清良 |  |  |
|  | 井村雪菜 |  |  |
|  | 日下部若叶 |  |  |
|  | 榊原里美 |  |  |
| sachiko koshimizu | 舆水幸子 |  |  |
|  | 安斋都 |  |  |
|  | 浅野风香 |  |  |
| yuriko ohnishi | 大西由里子 |  |  |
| nana abe | 安部菜菜 |  |  |
|  | 工藤忍 |  |  |
| nene kurihara | 栗原宁宁 |  |  |
|  | 古贺小春 |  |  |
|  | 原田美世 |  |  |
| akiha ikebukuro | 池袋晶叶 |  |  |
| yuu ohta | 太田优 |  |  |
|  | 克拉莉丝 |  |  |
| mayu sakuma | 佐久间麻由 |  |  |
|  | 村松樱 |  |  |
|  | 丹羽仁美 |  |  |
| mirei hayasaka | 早坂美玲 |  |  |
|  | 栋方爱海 |  |  |
| rina fujimoto | 藤本里奈 |  |  |
| michiru ohara | 大原满 |  |  |
| hotaru shiragiku | 白菊萤 |  |  |
| kozue yusa | 游佐梢 |  |  |
|  | 有浦柑奈 |  |  |
| kurumi ohnuma | 大沼胡桃 |  |  |
| shiki ichinose | 一之濑志希 |  |  |
| yuuki otokura | 乙仓悠贵 |  |  |
| rin shibuya | 涩谷凛 |  |  |
|  | 黑川千秋 |  |  |
| sarina matsumoto | 松本沙理奈 |  |  |
|  | 桐野绫 |  |  |
|  | 高桥礼子 |  |  |
|  | 相川千夏 |  |  |
| mizuki kawashima | 川岛瑞树 |  |  |
| nao kamiya | 神谷奈绪 |  |  |
| haruna kamijou | 上条春菜 |  |  |
| hina araki | 荒木比奈 |  |  |
| ai togo | 东乡爱 |  |  |
| riina tada | 多田李衣菜 |  |  |
| seira mizuki | 水木圣来 |  |  |
| chie sasaki | 佐佐木千枝 |  |  |
| miyu mifune | 三船美优 |  |  |
|  | 服部瞳子 |  |  |
| manami kiba | 木场真奈美 |  |  |
| hajime fujiwara | 藤原肇 |  |  |
| helen | 海伦 |  |  |
|  | 松永凉 |  |  |
|  | 小室千奈美 |  |  |
| noa takamine | 高峰诺亚 |  |  |
| kaede takagaki | 高垣枫 |  |  |
| ranko kanzaki | 神崎兰子 |  |  |
|  | 伊集院惠 |  |  |
|  | 柊志乃 |  |  |
| karen hojo | 北条加莲 |  |  |
|  | 凯特 |  |  |
|  | 濑名诗织 |  |  |
| honoka ayase | 绫濑穗乃香 |  |  |
| yukimi sajo | 佐城雪美 |  |  |
|  | 篠原礼 |  |  |
| rumi wakui | 和久井留美 |  |  |
|  | 吉冈沙纪 |  |  |
|  | 古泽赖子 |  |  |
|  | 望月圣 |  |  |
| kako takafuji | 鹰富士茄子 |  |  |
|  | 梅木音叶 |  |  |
| koume shirasaka | 白坂小梅 |  |  |
|  | 岸部彩华 |  |  |
| mutsumi ujiie | 氏家睦 |  |  |
|  | 西川保奈美 |  |  |
| yume narumiya | 成宫由爱 |  |  |
|  | 藤居朋 |  |  |
| syuko shiomi | 盐见周子 |  |  |
|  | 胁山珠美 |  |  |
| minami nitta | 新田美波 |  |  |
|  | 水野翠 |  |  |
|  | 冈崎泰叶 |  |  |
| kanade hayami | 速水奏 |  |  |
| izumi ohishi | 大石泉 |  |  |
| chizuru matsuo | 松尾千鹤 |  |  |
| arisu tachibana | 橘爱丽丝 |  |  |
| nono morikubo | 森久保乃乃 |  |  |
| anastasia | 安娜斯塔西娅 |  |  |
| aki yamato | 大和亚季 |  |  |
| haru yuuki | 结城晴 |  |  |
| fumika sagisawa | 鹭泽文香 | ![鹭泽文香](https://img.acg.moe/common/thumb/7/7c/35850324_m.jpg/250px-35850324_m.jpg) |  |
|  | 八神牧野 |  |  |
| layla | 莱拉 |  |  |
| asuka ninomiya | 二宫飞鸟 |  |  |
| nanami asari | 浅利七海 |  |  |
|  | 桐生司 |  |  |
| mio honda | 本田未央 |  |  |
| aiko takamori | 高森蓝子 |  |  |
|  | 并木芽衣子 |  |  |
| kaoru ryuzaki | 龙崎薰 |  |  |
| natsuki kimura | 木村夏树 |  |  |
|  | 松山久美子 |  |  |
|  | 齐藤洋子 |  |  |
|  | 泽田麻理菜 |  |  |
|  | 矢口美羽 |  |  |
| miria akagi | 赤城米莉亚 |  |  |
|  | 爱野渚 |  |  |
|  | 真锅斋 |  |  |
| yui ohtsuki | 大槻唯 |  |  |
| yuki himekawa | 姬川友纪 |  |  |
| yuzu kitami | 喜多见柚 |  |  |
|  | 上田铃帆 |  |  |
| naho ebihara | 海老原菜帆 |  |  |
| shizuku oikawa | 及川雫 |  |  |
| reina koseki | 小关丽奈 |  |  |
|  | 卫藤美纱希 |  |  |
| yumi aiba | 相叶夕美 |  |  |
|  | 野野村空 |  |  |
|  | 滨川爱结奈 |  |  |
| tomoka wakabayashi | 若林智香 |  |  |
| mika jougasaki | 城崎美嘉 |  |  |
| rika jougasaki | 城崎莉嘉 |  |  |
|  | 仙崎惠磨 |  |  |
|  | 日野茜(重复项) |  |  |
| kirari moroboshi | 诸星琪拉莉 |  |  |
| airi totoki | 十时爱梨 |  |  |
| natalia | 娜塔莉亚 |  |  |
|  | 相马夏美 |  |  |
|  | 槙原志保 |  |  |
| takumi mukai | 向井拓海 |  |  |
|  | 南条光 |  |  |
|  | 伊芙·珊德克罗丝 |  |  |
| nina ichihara | 市原仁奈 |  |  |
|  | 杉坂海 |  |  |
| hinako kita | 喜多日菜子 |  |  |
|  | 北川真寻 |  |  |
| mary cochran | 玛丽·柯克兰 |  |  |
|  | 小松伊吹 |  |  |
|  | 三好纱南 |  |  |
|  | 凯蒂·格拉汉姆 |  |  |
|  | 难波笑美 |  |  |
| ayame hamaguchi | 滨口菖蒲 |  |  |
| syoko hoshi | 星辉子 |  |  |
|  | 村上巴 |  |  |
| ako tsuchiya | 土屋亚子 |  |  |
|  | 首藤葵 |  |  |
| sanae katagiri | 片桐早苗 |  |  |
| yuko hori | 堀裕子 |  |  |
| kai nishijima | 西岛櫂 |  |  |
|  | 冴岛清美 |  |  |
| risa matoba | 的场梨沙 |  |  |
| tokiko zaizen | 财前时子 |  |  |
| shin sato | 佐藤心 |  |  |
| yoshino yorita | 依田芳乃 |  |  |
| chihiro senkawa | 千川千寻 |  |  |
| mirai kasuga | 春日未来 |  |  |
| hinata kinoshita | 木下日向 |  |  |
| julia | 茱莉亚 |  |  |
| sayoko takayama | 高山纱代子 |  |  |
| kotoha tanaka | 田中琴叶 |  |  |
| tomoka tenkubashi | 天空桥朋花 |  |  |
| serika hakozaki | 箱崎星梨花 |  |  |
| arisa matsuda | 松田亚利沙 |  |  |
| shizuka mogami | 最上静香 |  |  |
| anna mochizuki | 望月杏奈 |  |  |
|  | 矢吹可奈 |  |  |
| emily stewart | 艾米莉·司徒亚特 |  |  |
| tamaki ogami | 大神环 |  |  |
| reika kitakami | 北上丽花 |  |  |
| umi kousaka | 高坂海美 |  |  |
| minako satake | 佐竹美奈子 |  |  |
| elena shimabara | 岛原埃琳娜 |  |  |
| subaru nagayoshi | 永吉昴 |  |  |
|  | 野野原茜 |  |  |
| konomi baba | 马场木实 |  |  |
| noriko fukuda | 福田法子 |  |  |
|  | 舞滨步 |  |  |
| mizuki makabe | 真壁瑞希 |  |  |
| rio momose | 百濑莉绪 |  |  |
| nao yokoyama | 横山奈绪 |  |  |
| tsubasa ibuki | 伊吹翼 |  |  |
| shiho kitazawa | 北泽志保 |  |  |
| karen shinomiya | 篠宫可怜 |  |  |
| momoko suou | 周防桃子 |  |  |
| matsuri tokugawa | 德川茉莉 |  |  |
| megumi tokoro | 所惠美 |  |  |
| fuuka toyokawa | 丰川风花 |  |  |
| iku nakatani | 中谷育 |  |  |
| yuriko nanao | 七尾百合子 |  |  |
| chizuru nikaido | 二阶堂千鹤 |  |  |
| miya miyao | 宫尾美也 |  |  |
|  | 伴田路子 |  |  |
| kaori sakuramori | 樱守歌织 |  |  |
| tsumugi shiraishi | 白石䌷 |  |  |
|  | 青羽美咲 |  |  |
| mishiro | 美城常务 |  |  |
| touma amagase | 天濑冬马 |  |  |
| teru tendo | 天道辉 |  |  |
| minori watanabe | 渡边实 |  |  |
|  | 木村龙 |  |  |
| shiki iseya | 伊濑谷四季 |  |  |
| hayato akiyama | 秋山隼人 |  |  |
|  | 红井朱雀 |  |  |
|  | 阿斯兰·别西卜II世 |  |  |
| saki mizushima | 水岛咲 |  |  |
| shiro tachibana | 橘志狼 |  |  |
|  | 大河武 |  |  |
|  | 牙崎涟 |  |  |
|  | 圆城寺道流 |  |  |
|  | 兜大吾 |  |  |
| hokuto ijuuin | 伊集院北斗 |  |  |
| kaoru sakuraba | 樱庭薫 |  |  |
| rei kagura | 神乐丽 |  |  |
| kyoji takajo | 鹰城恭二 |  |  |
| kyosuke aoi | 苍井享介 |  |  |
|  | 握野英雄 |  |  |
|  | 猫柳桐生 |  |  |
| jun fuyumi | 冬美旬 |  |  |
| natsuki sakaki | 榊夏来 |  |  |
|  | 黑野玄武 |  |  |
|  | 东云荘一郎 |  |  |
| nao okamura | 冈村直央 |  |  |
|  | 山下次郎 |  |  |
|  | 硲道夫 |  |  |
|  | 九十九一希 |  |  |
|  | 葛之叶雨彦 |  |  |
|  | 古论克里斯 |  |  |
| shouta mitarai | 御手洗翔太 |  |  |
| tsubasa kashiwagi | 柏木翼 |  |  |
| kei tsuzuki | 都筑圭 |  |  |
| pierre | 皮埃尔 |  |  |
| yusuke aoi | 苍井悠介 |  |  |
|  | 信玄诚司 |  |  |
|  | 华村翔真 |  |  |
|  | 清澄九郎 |  |  |
| haruna wakazato | 若里春名 |  |  |
|  | 神谷幸广 |  |  |
| makio uzuki | 卯月卷绪 |  |  |
| kanon himeno | 姬野花音 |  |  |
|  | 舞田类 |  |  |
|  | 北村想乐 |  |  |
|  | 山村贤 |  |  |
| mano sakuragi | 樱木真乃 |  |  |
| hiori kazano | 风野灯织 |  |  |
| meguru hachimiya | 八宫缭 |  |  |
| mamimi tanaka | 田中摩美美 |  |  |
| kiriko yukoku | 幽谷雾子 |  |  |
| kogane tsukioka | 月冈恋钟 |  |  |
| yuika mitsumine | 三峰结华 |  |  |
| sakuya shirase | 白濑咲耶 |  |  |
| amana osaki | 大崎甘奈 |  |  |
| chiyuki kuwayama | 桑山千雪 |  |  |
| tenka osaki | 大崎甜花 |  |  |
| kaho komiya | 小宫果穂 |  |  |
| chiyoko sonoda | 园田智代子 |  |  |
| juri saijo | 西城树里 |  | [偶像大師 閃耀色彩 中文WIKI](https://shinycolors.fandom.com/zh/wiki/西城樹里) |
| rinze morino | 杜野凛世 |  |  |
| natsuha arisugawa | 有栖川夏叶 |  |  |
